Date/Time,Badge Number,Reading
2022-05-09 08:00:00,W-51134446,130132.79
2022-05-09 08:00:00,W-51125273,123632.47
2022-05-09 08:00:00,W-53522540,174640.0
2022-05-09 08:00:00,W-51136222,7286.68
2022-05-09 08:00:00,W-51135560,228595.62
2022-05-09 08:00:00,W-51102898,252654.0
2022-05-09 08:00:00,W-51083805,125474.78
2022-05-09 08:00:00,W-51083300,94645.71
2022-05-09 08:00:00,W-63538624,1989944.0
2022-05-09 08:00:00,W-51055319,402426.0
2022-05-09 08:00:00,W-51101521,518976.42
2022-05-09 08:00:00,W-51104574,118489.64
2022-05-09 08:00:00,W-51103142,157578.93
2022-05-09 08:00:00,W-51083027,192643.61
2022-05-09 08:00:00,W-51104287,268665.5
2022-05-09 08:00:00,W-51135313,37651.61
2022-05-09 08:00:00,W-51080373,535047.16
2022-05-09 08:00:00,W-51084935,127370.77
2022-05-09 08:00:00,W-51083719,178220.52
2022-05-09 08:00:00,W-51074464,237173.53
2022-05-09 08:00:00,W-51078371,15259.68
2022-05-09 08:00:00,W-51110081,172416.89
2022-05-09 08:00:00,W-51108680,47857.13
2022-05-09 08:00:00,W-51107823,268691.64
2022-05-09 08:00:00,W-51125053,133078.06
2022-05-09 08:00:00,W-51129945,142023.83
2022-05-09 08:00:00,W-51080329,163386.86
2022-05-09 08:00:00,W-51081231,30563.74
2022-05-09 08:00:00,W-51072056,114685.0
2022-05-09 08:00:00,W-51110060,440949.63
2022-05-09 08:00:00,W-51077804,156309.76
2022-05-09 08:00:00,W-51077845,88345.18
2022-05-09 08:00:00,W-51106049,285380.15
2022-05-09 08:00:00,W-51101211,268621.96
2022-05-09 08:00:00,W-51084709,82028.49
2022-05-09 08:00:00,W-51111234,54952.49
2022-05-09 08:00:00,W-51110222,153884.12
2022-05-09 08:00:00,W-51104868,70910.28
2022-05-09 08:00:00,W-51080558,237428.17
2022-05-09 08:00:00,W-51113736,151071.93
2022-05-09 08:00:00,W-51073972,18964543.5
2022-05-09 08:00:00,W-51112977,221086.71
2022-05-09 08:00:00,W-51106737,24677.64
2022-05-09 08:00:00,W-51134766,106914.01
2022-05-09 08:00:00,W-51133853,156292.9
2022-05-09 08:00:00,W-51080874,54930.26
2022-05-09 08:00:00,W-51111423,107059.75
2022-05-09 08:00:00,W-51102194,48289.95
2022-05-09 08:00:00,W-51104837,162214.95
2022-05-09 08:00:00,W-51104454,124132.16
2022-05-09 08:00:00,W-51103922,72716.53
2022-05-09 08:00:00,W-51134029,164958.56
2022-05-09 08:00:00,W-51105885,47911.05
2022-05-09 08:00:00,W-51106846,78574.39
2022-05-09 08:00:00,W-51108872,59488.57
2022-05-09 08:00:00,W-51108044,42644.48
2022-05-09 08:00:00,W-51128611,242162.22
2022-05-09 08:00:00,W-51103198,295926.31
2022-05-09 08:00:00,W-51107052,235713.46
2022-05-09 08:00:00,W-51103530,132232.26
2022-05-09 08:00:00,W-51134628,16329.19
2022-05-09 08:00:00,W-51106592,209729.35
2022-05-09 08:00:00,W-51077926,146210.42
2022-05-09 08:00:00,W-51107985,19394.89
2022-05-09 08:00:00,W-51101077,528569.5
2022-05-09 08:00:00,W-51113665,100882.35
2022-05-09 08:00:00,W-51112447,87853.58
2022-05-09 08:00:00,W-51103415,4.07
2022-05-09 08:00:00,W-51109284,59828.57
2022-05-09 08:00:00,W-51108879,130208.18
2022-05-09 08:00:00,W-51132487,151204.85
2022-05-09 08:00:00,W-51079269,65191.81
2022-05-09 08:00:00,W-51081218,179890.88
2022-05-09 08:00:00,W-51077741,227322.66
2022-05-09 08:00:00,W-51075179,39177.9
2022-05-09 08:00:00,W-51105559,253852.4
